32o:32s,0.4749365
32o:42o,0.4686615
32o:42s,0.4438345
32o:43o,0.4520575
32o:43s,0.430762
32o:52o,0.4015535
32o:52s,0.382474
32o:53o,0.392051
32o:53s,0.3757175
32o:54o,0.3946595
32o:54s,0.375189
32o:62o,0.371505
32o:62s,0.354053
32o:63o,0.358742
32o:63s,0.3438085
32o:64o,0.375521
32o:64s,0.3565545
32o:65o,0.36674
32o:65s,0.3493515
32o:72o,0.3481295
32o:72s,0.331745
32o:73o,0.3225195
32o:73s,0.310225
32o:74o,0.3580695
32o:74s,0.3414855
32o:75o,0.3520925
32o:75s,0.336889
32o:76o,0.343824
32o:76s,0.3275565
32o:82o,0.323558
32o:82s,0.3085625
32o:83o,0.315409
32o:83s,0.3028
32o:84o,0.355326
32o:84s,0.3387635
32o:85o,0.34919
32o:85s,0.3342435
32o:86o,0.343774
32o:86s,0.326171
32o:87o,0.324724
32o:87s,0.309452
32o:92o,0.308028
32o:92s,0.2939305
32o:93o,0.2976275
32o:93s,0.2866345
32o:94o,0.350615
32o:94s,0.334274
32o:95o,0.344869
32o:95s,0.329009
32o:96o,0.3421075
32o:96s,0.3266625
32o:97o,0.336104
32o:97s,0.320339
32o:98o,0.3342165
32o:98s,0.317807
32o:T2o,0.294796
32o:T2s,0.281351
32o:T3o,0.284708
32o:T3s,0.2738745
32o:T4o,0.3435475
32o:T4s,0.328781
32o:T5o,0.3431545
32o:T5s,0.3284245
32o:T6o,0.3410635
32o:T6s,0.3250575
32o:T7o,0.334889
32o:T7s,0.3181505
32o:T8o,0.333727
32o:T8s,0.3177605
32o:T9o,0.331586
32o:T9s,0.3160935
32o:J2o,0.2853085
32o:J2s,0.272531
32o:J3o,0.275513
32o:J3s,0.264482
32o:J4o,0.3415585
32o:J4s,0.3260835
32o:J5o,0.3397995
32o:J5s,0.3243955
32o:J6o,0.343666
32o:J6s,0.3275645
32o:J7o,0.3370565
32o:J7s,0.3213415
32o:J8o,0.335266
32o:J8s,0.31816
32o:J9o,0.334685
32o:J9s,0.3181485
32o:JTo,0.3281095
32o:JTs,0.3124725
32o:Q2o,0.280159
32o:Q2s,0.2673165
32o:Q3o,0.268308
32o:Q3s,0.258436
32o:Q4o,0.3404985
32o:Q4s,0.3238205
32o:Q5o,0.339298
32o:Q5s,0.324939
32o:Q6o,0.3414075
32o:Q6s,0.3250035
32o:Q7o,0.339622
32o:Q7s,0.323681
32o:Q8o,0.337628
32o:Q8s,0.321571
32o:Q9o,0.337828
